113.395969,23.033731
113.395834,23.033704
113.395744,23.033686
113.395663,23.033633
113.395573,23.033603
113.395508,23.033558
113.39543,23.033494
113.39534,23.033442
113.395247,23.033404
113.395194,23.03337
113.39512,23.033344
113.395026,23.033333
113.394969,23.033333
113.3949,23.033351
113.394827,23.033348
113.394757,23.033355
113.394704,23.033363
113.394655,23.033382
113.394582,23.033419
113.394504,23.033438
113.394402,23.033438
113.394329,23.033438
113.394264,23.03343
113.394235,23.033412
113.394166,23.033374
113.394145,23.033359
113.394088,23.033321
113.394023,23.033288
113.393941,23.033243
113.393917,23.03322
113.393844,23.033175
113.393823,23.033171
113.393758,23.033153
113.393713,23.033123
113.393644,23.033092
113.393546,23.033081
113.39346,23.033081
113.393334,23.033092
113.393248,23.033089
113.393171,23.033108
113.393113,23.033134
113.393077,23.033168
113.393024,23.033213
113.392963,23.033228
113.392901,23.033269
113.392877,23.033303
113.392808,23.033366
113.392795,23.033393
113.392779,23.033419
113.392746,23.03346
113.392738,23.033502
113.392726,23.033535
113.392702,23.033603
113.392693,23.033674
113.392697,23.033731
113.392706,23.033802
113.392726,23.033854
113.392734,23.033915
113.39275,23.033971
113.392767,23.034001
113.392803,23.034053
113.392808,23.034106
