113.392014,23.03697
113.391986,23.036932
113.391959,23.036888
113.391932,23.03685
113.39189,23.0368
113.391842,23.036749
113.391801,23.036673
113.391794,23.036642
113.391753,23.036598
113.391733,23.036553
113.391664,23.036471
113.391616,23.036414
113.391575,23.03637
113.391561,23.036345
113.391513,23.036332
113.391444,23.036339
113.391424,23.036358
113.391355,23.03637
113.3913,23.036377
113.391266,23.036395
113.391232,23.036395
113.391115,23.036402
113.391053,23.036402
113.391033,23.036402
113.390971,23.036389
113.390937,23.03637
113.390888,23.036364
113.390834,23.036364
113.390703,23.036345
113.390621,23.036364
113.390525,23.036408
113.390456,23.036471
113.390429,23.036497
113.390353,23.036541
113.390305,23.036598
113.39025,23.036673
